id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,sentiment,sentiment_confidence,authenticity_score,normalized_rating
Ci9DQUlRQUNvZENodHljRjlvT25KV2NqazNTRkY1Y0VnNWN6RlJWRzQ0TldkelpWRRAB,"Ambience of this place is likeable, from staff to service delivery is quite commendable. They maintain good hygiene.",4 months ago,2025-11-05 16:53:32.721530,3.0,Anjalee,55,https://www.google.com/maps/contrib/116261602936968700664/reviews?hl=en,,positive,0.482,0.22,2.73
Ci9DQUlRQUNvZENodHljRjlvT21kTmFXcHZka3AxUVhKTVJHTkxURzUzVmxZeVpWRRAB,"V. Comforting & welcoming staff. Helpful whether its ordering or guiding or cleaning. Airy & calm space, often visit for d taste & envt.",a month ago,2025-11-05 16:53:32.723413,5.0,kanaz dsouza,39,https://www.google.com/maps/contrib/111713775654838591599/reviews?hl=en,,positive,0.384,0.27,3.89
Ci9DQUlRQUNvZENodHljRjlvT2xwVFExOHpjMTlKWmxCb2FtNU5OWEZoVmpVelIwRRAB,Food quality is very cheap It taste like shit Staff behaviour isn’t good Service is also bad,3 months ago,2025-11-05 16:53:32.725840,1.0,PSYCHO,1,https://www.google.com/maps/contrib/103575709981085120604/reviews?hl=en,,negative,0.478,0.19,1.13
Ci9DQUlRQUNvZENodHljRjlvT2xadGFERlNlWFJhUjBWRE1rTXdjbXh0U21GdWRuYxAB,"This used to be the one of the best fastfood outlet in prayagraj. I have been coming here since 2013, and this place and went from 5 star to 1 star.  Cold food, employees are over-worked and short handed, wait time is horrendous even when there are barely few people here. The screen doesn't show prder status anymore, 2nd floor is never open. Above all the place is filthy.  I hope it gets back to its glory days or else maybe today will be my last visit here.",a week ago,2025-11-05 16:53:32.727116,1.0,AKS,27,https://www.google.com/maps/contrib/116873983446347269675/reviews?hl=en,,negative,0.913,0.48,1.59
ChZDSUhNMG9nS0VJQ0FnTUNJZ28zVkNBEAE,"Ordered the KFC Gold Edition meal in which I got Zinger burger with special sauce, cheesy fries and cold drinks. But the bread of burger is not of good quality 😏and taste was also not good😞, I think it is road side bread who sells pav and chai combo😕 and they didn’t have black pepsi instead they gave regular pepsi. 🙁 Very disappointed form this KFC outlet. 😏 You should rather visit Fika cafe near Kfc it’s worth every penny😍. You’ll love the atmosphere and food obviously and the staff is very friendly. 🤪😋",7 months ago,2025-11-05 16:53:32.728199,2.0,VASU TAYAL,79,https://www.google.com/maps/contrib/102026195319194915320/reviews?hl=en,,neutral,0.354,0.51,1.91
ChdDSUhNMG9nS0VJQ0FnSUN3dHJLdzRBRRAB,I love to sit near the glass pane and watch the chaos of the city while munching on my chicken. This place is the favourite to me. What's there not to love. Food? Good. Place? Calming.  It's renovated now by the way. Have a look.,Edited a year ago,2025-11-05 16:53:32.729654,5.0,Sharda Chandra,19,https://www.google.com/maps/contrib/102285873000180242173/reviews?hl=en,,positive,0.595,0.35,4.23
ChZDSUhNMG9nS0VJQ0FnSUMxeW9DLUJREAE,"I visited here Saturday evening and the place was not very crowded. We ordered Chicken Bucket, Double chicken roll and Chizza. Clearly speaking the Double Chicken Roll is not at all worth it. It was very dry and bland. The fried chicken bucket was as usual tasty but the frying was not proper at all. Lot of oil was left in the chicken ahe I could feel drinking oil. Chizza was good and tasty. Another problem here is the efficiency in management. Traditional ordering counters are not available here. Here they placed 3 self ordering screens. Out of which only one is working and that too is operated by the employee. That means only 1 ordering counter is available in the whole facility and it also defeats the purpose of self ordering. Hope all gets corrected soon.",a year ago,2025-11-05 16:53:32.731032,3.0,swapnil mhatre,165,https://www.google.com/maps/contrib/114027444214635513586/reviews?hl=en,,negative,0.389,0.5,2.43
Ci9DQUlRQUNvZENodHljRjlvT21oWGNqUm9WakpVY2toSWNYVkhRMmRYUkRSM2VYYxAB,"I am writing to share my disappointment regarding the ongoing poor experience I’ve faced at your KFC Civil Lines, Allahabad outlet. Over the past eight years, I have regularly visited this branch, hoping for improvement — unfortunately, there has been no visible change in quality, service, or hospitality.  Here are some specific issues: 1. Poor Quality of Chicken Especially on Wednesdays, the chicken served is often of very low quality — it tastes stale, is often poorly cooked, and lacks the standard flavor I’ve experienced in other cities. 2. Inconsistent Taste The taste and freshness of food served here do not match the standards of other KFC outlets in cities like Delhi or Lucknow It feels like a completely different restaurant, not part of the KFC brand. 3. Unprofessional Staff and Service The staff lacks professionalism. Many of them are often seen chatting behind the cash counter, ignoring customer service. Their hospitality and attentiveness are far below expectations. 4. Poor Serving Practices The chicken is often kept for a long time, and when served, it is barely warm and feels microwaved rather than freshly cooked. This greatly affects the overall dining experience.  As a loyal customer and fan of KFC, it’s extremely disappointing to see this lack of quality and care at one of your outlets. I sincerely urge the management to look into this matter seriously and take corrective steps — including staff training, quality control, and ensuring food freshness.  I hope to see real improvement soon.",3 months ago,2025-11-05 16:53:32.732456,1.0,Shibu M,3,https://www.google.com/maps/contrib/100083889817339195096/reviews?hl=en,,negative,0.483,0.52,1.21
ChZDSUhNMG9nS0VKVEI0WlBfeDVEMk53EAE,"Filthy approach , entrance Staff highly inhospitable AC not working , everybody sweating",4 months ago,2025-11-05 16:53:32.734053,2.0,Dr. Mamta Acharya,338,https://www.google.com/maps/contrib/108752494383215117291/reviews?hl=en,,negative,0.583,0.04,1.83
ChZDSUhNMG9nS0VJQ0FnTURRM05xMVp3EAE,"Well, The KFC is amazing in taste. I am vegan but still i visit here just to eat their veg burgers . As i have talked with some of my friends they said that there is no match of KFC in chicken. What i personally feel is that their food is so fresh. And being a vegan what i like most here it their veg long.  And their service is also good. They don't took much time to provide you your order. 😄 And as you will visit here you will get different offers and good deal combos.  Jai Mahakumbh 🙏🏻",7 months ago,2025-11-05 16:53:32.735149,4.0,Shivam Kr,125,https://www.google.com/maps/contrib/113271672627209187796/reviews?hl=en,,positive,0.54,0.67,3.58
